United States,United Kingdom,Europe,Earth,England,Brain,Africa,Animal,Theatre,Mammal,Human,World War II,Asteroid,North America,Pyramid,France,India,Germany,English language,Science,Plant,Telephone,Agriculture,Computer,Atlantic Ocean,Viking,Internet,Zebra,London,United Nations,Film,Computer science,Bird,Mexico,Japan,Italy,Australia,Asia,Television,Russia,Biology,California,Christianity,Music,Adolf Hitler,European Union,Sun,Technology,Water,Solar System,Periodic table,Culture,Bean,China,Communication,Pacific Ocean,Lion,20th century,British Empire,South America,Scotland,Canada,Fish,President of the United States,Mathematics,Seed,Great Britain,Life,Organism,Electronics,Latin,Roman Empire,Chemistry,Norway,Chemical element,Physics,New York City,Ancient Greece,Food,Egypt,Ancient Egypt,South Africa,Continent,Art,Religion,Soviet Union,World War I,Fruit,Country,Herbivore,Florida,Jesus,Ancient Rome,Spain,Soybean,19th century,Ocean,Vertebrate,Language,Information
18,3,35,67,44,27,53,78,41,1,83,1,4,7,11,60,88,9,1,22,30,32,5,100,1,5,97,4,76,1,74,1,8,28,12,21,91,26,13,11,5,37,1,96,1,1,64,20,78,2,8,26,46,82,20,1,100,3,1,8,13,92,45,0,2,8,1,98,1,8,82,5,66,34,1,9,6,1,93,10,1,23,2,92,11,1,0,30,89,0,87,36,1,16,0,2,71,0,81,96
19,3,35,62,51,25,58,78,39,1,87,1,2,6,11,85,85,9,2,23,33,32,6,98,1,5,98,4,85,1,77,1,8,29,13,19,92,28,14,10,4,35,1,91,1,1,67,21,81,2,9,26,45,88,20,1,93,3,1,8,16,89,44,0,3,8,1,96,1,7,84,5,71,32,1,8,6,1,96,10,1,23,2,96,13,1,0,31,86,0,89,35,1,16,0,2,68,0,77,99
19,3,36,63,48,24,58,78,39,1,81,1,2,6,11,78,83,9,1,22,33,29,6,96,1,4,95,4,77,1,76,1,8,28,13,19,100,25,14,11,4,33,1,93,1,1,62,21,76,2,9,25,43,84,21,1,87,3,1,8,15,87,43,0,3,8,1,98,1,7,89,4,66,34,1,9,6,1,91,11,1,23,2,86,12,1,0,29,87,0,83,35,0,16,0,2,62,0,83,92
19,3,35,61,40,28,57,78,39,1,86,1,2,6,11,59,78,9,2,23,33,30,6,97,1,4,98,4,77,1,75,1,8,30,13,20,85,24,14,11,4,34,1,98,1,1,60,20,80,2,9,26,44,84,21,1,93,3,1,8,15,93,43,0,3,8,1,93,1,7,86,5,69,34,1,9,6,1,93,12,1,23,2,95,13,1,0,31,88,0,84,35,0,16,0,2,85,0,83,100
18,3,34,64,46,28,59,82,40,1,90,1,7,6,12,66,78,10,2,22,37,31,6,95,1,4,97,4,77,1,72,1,8,29,13,21,82,25,14,11,4,35,1,100,1,1,63,21,77,2,10,27,42,86,22,1,92,3,1,8,15,93,45,0,3,8,1,95,1,7,86,5,68,30,1,9,7,1,95,11,1,23,2,92,13,1,1,30,88,0,84,35,1,16,0,3,69,0,83,96
19,3,34,75,35,26,59,81,40,1,88,1,66,6,11,60,77,9,1,21,34,31,6,95,1,4,92,4,72,1,74,1,9,28,12,20,81,24,13,66,4,34,1,94,1,1,63,20,83,2,9,27,42,80,20,1,91,3,1,7,14,86,47,0,3,8,1,92,1,7,92,5,64,30,1,8,6,1,96,10,1,25,2,92,13,1,1,31,88,0,87,36,1,16,0,3,98,0,81,95
20,3,33,68,35,26,57,79,38,1,85,1,13,6,12,61,86,9,1,22,36,30,7,95,1,4,94,4,72,1,75,1,8,30,12,20,94,26,14,31,4,34,1,98,1,1,63,21,83,2,8,27,44,89,21,1,89,3,1,7,13,93,47,0,3,9,1,100,1,7,84,5,64,28,1,8,6,1,94,10,1,25,2,94,13,1,1,30,95,0,87,38,1,15,0,2,71,0,79,90
19,3,34,63,32,27,55,78,38,1,91,1,3,6,12,59,86,10,1,22,36,31,8,96,1,4,100,4,69,1,71,1,8,30,13,22,91,24,13,13,4,33,1,94,1,1,63,21,83,2,9,27,40,86,22,1,89,3,1,8,14,94,46,0,3,8,1,99,1,7,84,5,66,29,2,9,6,1,94,11,1,24,2,97,13,1,1,30,88,0,92,37,1,16,0,2,68,0,85,96
19,3,34,60,34,29,56,77,36,1,87,1,4,7,12,61,86,10,1,23,38,31,6,97,1,5,97,4,74,1,70,1,8,31,14,21,90,25,14,12,4,35,1,93,1,1,65,21,83,2,8,30,43,88,21,1,95,3,1,8,14,92,46,0,3,9,1,98,1,7,87,5,69,28,1,9,6,1,96,11,1,24,2,96,13,1,1,30,90,0,94,38,1,16,0,2,73,0,88,98
18,3,35,62,40,26,56,76,34,1,86,1,3,6,11,78,96,9,2,21,39,31,6,89,1,5,93,4,76,1,68,1,8,30,13,24,94,25,14,11,4,35,1,90,1,1,61,21,79,2,7,27,40,89,21,1,86,3,1,8,14,91,45,0,3,9,1,98,1,7,97,4,64,28,1,8,6,1,92,10,1,25,2,93,14,1,1,29,86,0,85,41,1,16,0,2,65,0,83,97
18,3,35,70,41,26,58,78,36,1,88,1,4,6,11,62,88,10,2,23,39,32,7,88,1,5,97,4,73,1,68,1,8,31,14,25,99,26,14,13,4,35,1,99,1,1,61,21,83,2,7,27,40,87,22,1,91,3,1,8,16,93,44,0,3,10,1,94,1,7,88,5,64,29,1,8,6,1,96,10,1,25,2,93,13,1,1,30,91,0,93,43,1,17,0,2,68,0,81,94
18,3,35,64,39,24,48,75,38,1,90,1,3,6,11,67,82,10,1,20,38,28,5,90,1,5,97,3,73,1,71,1,9,30,13,21,82,26,13,15,4,34,1,92,1,1,62,19,80,2,5,25,44,90,20,1,89,3,1,7,14,89,47,0,2,9,1,92,1,6,79,4,57,25,1,7,6,0,96,11,1,21,2,91,12,1,1,30,90,0,100,67,0,18,0,2,67,0,77,87
19,3,34,64,29,26,49,78,41,1,83,1,2,8,11,60,80,10,1,20,42,29,6,88,1,5,94,3,74,1,72,1,9,27,14,21,84,27,13,12,4,36,1,95,1,1,64,19,81,2,5,26,42,95,20,1,92,3,1,7,12,90,44,0,2,10,1,92,1,7,83,4,58,27,1,7,6,0,88,10,1,20,2,87,12,1,1,29,90,0,87,54,0,16,0,2,71,0,76,84
20,3,34,62,32,26,52,79,36,1,84,2,2,7,12,57,74,10,2,21,42,30,6,85,1,5,94,3,72,1,65,1,9,29,14,20,85,26,13,11,4,36,1,90,1,1,62,19,80,2,6,27,39,100,20,1,97,3,1,7,13,92,43,0,3,9,1,90,1,7,79,4,58,35,1,8,6,1,92,10,1,23,2,91,13,1,1,30,96,0,82,40,1,16,0,2,69,0,77,93
20,3,34,79,31,27,53,81,35,1,85,1,2,6,11,64,86,10,2,20,61,31,6,88,1,5,93,4,78,1,66,1,9,30,14,20,82,26,13,14,5,35,1,93,2,1,68,22,86,2,7,27,38,93,20,1,91,3,1,7,13,90,45,0,3,10,1,91,1,6,87,4,65,32,1,8,6,1,96,10,1,23,2,92,14,1,1,31,97,0,78,38,1,16,0,3,69,0,83,98
20,3,35,100,33,28,53,83,35,1,90,2,2,6,12,64,80,10,2,21,50,30,7,89,1,5,95,4,80,1,70,1,9,29,14,21,83,26,13,13,5,35,1,98,1,1,68,21,88,2,7,28,38,100,21,1,88,3,1,8,14,91,45,0,3,9,1,96,1,6,88,5,70,31,1,9,6,1,97,10,1,22,2,95,14,2,1,31,93,0,78,39,1,18,0,2,73,1,83,94
20,3,36,69,32,28,52,83,37,1,89,2,2,6,12,65,82,10,2,21,47,31,6,92,1,5,95,4,76,1,68,1,9,28,14,22,86,26,13,11,5,37,1,96,1,1,72,19,89,2,7,27,39,93,20,2,88,4,1,7,13,92,46,0,3,9,1,96,1,6,86,5,71,31,1,9,6,1,100,10,1,21,2,95,13,1,1,32,98,0,80,38,1,18,0,2,70,0,83,95
19,3,33,67,31,26,54,79,34,1,81,1,2,6,12,63,79,10,2,20,55,30,6,88,1,5,95,4,71,1,69,1,9,28,13,22,80,25,12,11,5,36,1,89,1,1,68,21,87,2,6,27,37,84,19,1,88,3,1,7,13,83,44,0,3,9,1,93,1,6,85,5,75,34,1,9,6,1,96,10,1,23,2,95,13,1,1,32,92,0,77,38,1,18,0,2,73,0,84,90
18,3,35,63,31,25,53,79,37,1,83,1,2,6,12,67,79,10,2,21,46,31,7,87,1,4,90,3,72,1,68,1,9,28,13,22,81,24,12,12,5,38,1,90,1,1,67,20,87,2,6,26,36,85,20,1,83,3,1,7,13,86,43,0,3,9,1,91,1,6,84,4,68,42,1,9,6,1,94,10,1,22,2,92,12,1,0,30,91,0,79,36,1,18,0,2,71,0,82,92
17,3,33,66,35,24,53,84,36,1,82,1,2,7,11,63,80,10,2,20,45,30,6,88,1,4,87,3,87,1,67,1,9,28,14,22,83,26,12,11,4,36,1,97,1,1,71,19,90,2,6,25,41,85,19,1,82,3,1,7,14,86,44,0,3,9,1,89,1,6,85,4,67,37,1,8,7,1,97,10,1,22,2,90,12,1,0,30,91,0,81,36,1,17,0,2,74,0,77,87
16,3,33,73,41,21,54,86,39,1,71,1,6,6,10,67,82,10,1,19,42,29,6,86,1,4,90,3,73,1,68,1,9,29,13,23,85,24,13,11,4,34,1,90,1,1,68,18,87,2,5,25,43,89,17,1,84,3,1,6,12,91,44,0,2,8,1,86,1,6,76,3,61,32,1,7,6,1,94,9,1,21,2,90,11,1,0,29,93,0,77,36,1,17,0,2,74,0,77,81
16,3,33,80,39,23,59,83,36,1,76,1,2,7,10,67,87,11,2,20,42,29,6,86,1,4,87,3,69,1,65,1,9,31,14,22,84,25,13,12,4,34,1,93,1,1,66,21,88,2,5,24,35,81,19,1,76,3,1,6,12,87,44,0,3,8,1,87,0,6,80,4,75,32,1,9,6,1,97,10,1,25,1,85,11,1,0,31,94,0,82,39,1,17,0,2,76,0,79,82
16,3,33,69,33,23,58,93,37,1,77,1,1,6,9,73,88,10,1,20,44,31,6,90,1,5,87,3,73,1,66,1,8,30,14,22,88,26,12,11,4,35,1,91,1,1,66,20,87,2,5,24,36,84,19,1,86,3,1,6,13,90,41,0,3,8,1,86,0,6,76,3,65,33,1,8,6,0,93,10,1,24,2,89,11,1,0,31,94,0,82,36,0,19,0,1,76,0,77,90
15,3,34,66,35,23,53,100,36,1,74,1,1,7,9,74,88,9,1,19,40,30,6,93,1,5,92,3,75,1,65,1,8,37,15,31,88,25,12,10,3,36,1,89,1,1,69,20,91,2,5,23,37,82,20,1,84,2,1,6,12,85,43,0,3,8,1,88,0,7,74,3,62,33,1,7,6,0,94,10,1,22,2,86,10,1,1,32,99,0,79,35,0,25,0,1,79,0,74,87
15,3,34,64,44,23,53,97,37,1,78,1,1,6,9,78,95,9,1,18,40,30,6,87,1,4,90,3,75,1,69,1,8,28,13,31,81,24,11,10,3,36,1,91,1,1,68,20,97,2,4,22,36,83,18,1,88,2,1,6,13,93,45,0,2,8,1,86,0,7,71,3,48,31,1,6,6,0,93,11,0,22,1,86,10,0,1,32,92,0,81,37,0,27,0,1,83,0,76,82
16,3,31,61,32,22,53,100,38,1,72,1,1,6,9,89,92,9,1,17,37,32,5,87,1,5,90,3,75,1,67,1,8,28,14,24,85,24,11,10,2,36,1,90,1,1,69,19,97,1,4,21,38,80,17,1,86,2,1,6,13,97,44,0,2,8,1,86,0,7,70,3,46,30,1,6,6,0,96,25,0,21,1,83,9,0,0,34,100,0,79,34,0,33,0,1,92,0,73,78
14,3,31,60,34,22,52,93,35,1,74,1,1,6,9,80,91,9,1,17,41,31,5,91,1,5,94,3,74,1,68,1,8,29,13,21,89,26,11,10,2,38,1,91,1,0,65,19,100,1,4,21,36,79,17,1,78,2,1,6,13,91,45,0,2,8,1,89,0,7,70,3,47,31,1,6,6,0,99,13,0,22,1,85,10,0,0,34,99,0,85,35,0,17,0,1,85,0,74,85
16,3,31,60,34,21,49,87,35,1,72,1,1,5,8,91,86,9,1,17,39,31,5,89,1,4,90,3,73,1,66,1,8,26,13,20,89,25,11,10,2,36,1,87,1,1,71,19,100,1,4,21,36,81,17,1,93,2,1,6,14,87,45,0,2,8,1,90,0,7,67,3,44,33,0,6,6,0,94,10,0,21,1,84,9,0,0,35,96,0,93,35,0,17,0,1,83,0,76,80
15,3,31,62,42,22,49,88,35,1,73,1,1,5,9,72,89,9,1,17,33,32,5,88,1,4,93,4,79,1,67,1,8,27,14,21,90,25,11,11,3,36,1,87,1,0,71,20,98,1,4,21,38,82,17,1,82,2,1,6,14,86,45,0,2,8,1,87,0,7,69,3,48,32,1,6,6,0,94,11,0,21,1,86,10,0,0,34,93,0,83,36,0,27,0,1,87,0,74,80
15,3,31,58,34,24,50,85,35,1,75,1,1,5,9,63,93,9,1,17,38,32,5,90,1,4,94,4,76,1,69,1,8,25,13,21,90,29,12,10,2,36,1,87,1,0,65,19,92,1,4,20,37,87,16,1,82,2,0,6,14,87,45,0,2,8,1,89,0,7,70,3,44,37,1,6,6,0,90,11,0,22,1,85,10,0,0,33,96,0,87,37,0,20,0,1,85,0,73,83
14,3,30,59,35,21,53,94,34,1,71,1,1,5,9,57,96,9,1,17,35,32,5,88,1,4,91,3,75,1,71,1,7,27,14,20,92,31,11,12,3,35,1,87,1,0,56,18,93,1,4,20,37,85,15,1,80,2,0,6,15,88,45,0,2,8,1,87,0,7,67,3,43,33,0,6,6,0,93,10,0,24,1,86,9,0,0,32,96,0,87,35,0,17,0,1,86,0,71,78
14,3,30,59,41,23,55,91,34,2,77,1,2,5,8,53,96,9,1,19,38,31,5,94,1,4,94,3,75,1,74,1,7,29,14,20,93,28,11,12,3,36,1,89,1,0,58,18,92,1,4,21,36,93,16,1,86,2,1,6,19,87,47,0,3,9,1,88,0,7,73,3,49,36,1,6,6,0,98,21,0,25,1,86,10,0,0,34,98,0,86,36,0,16,0,1,83,0,77,83
15,3,30,57,34,22,53,85,35,1,78,1,1,6,8,57,86,9,1,19,38,31,5,94,1,4,99,3,75,1,72,1,8,29,14,20,90,25,11,12,4,36,1,91,1,0,56,20,88,1,5,22,34,79,17,2,82,2,1,7,14,87,45,0,3,8,1,87,0,7,75,3,56,29,1,6,6,0,92,17,1,21,2,88,11,0,0,31,95,0,79,34,0,17,0,1,82,0,79,79
17,3,32,58,35,23,51,88,32,1,77,1,1,6,9,54,90,9,1,21,40,32,6,96,1,5,97,3,71,1,74,1,7,31,14,19,85,27,12,14,4,34,1,100,1,1,54,20,89,1,8,25,33,89,18,2,80,2,1,7,13,87,43,0,3,8,1,87,1,7,81,4,70,32,1,7,6,0,94,11,1,21,2,93,11,1,0,32,90,0,78,35,0,17,1,1,75,0,84,88
17,3,34,60,38,24,51,86,34,1,77,1,1,6,10,59,100,10,2,21,38,34,6,95,1,4,98,3,77,1,71,1,7,34,14,20,96,26,12,15,4,33,1,91,1,1,51,20,88,2,10,26,33,87,20,2,75,3,1,8,14,86,43,0,3,8,1,90,1,7,81,5,70,30,2,9,6,0,91,11,1,21,2,93,12,1,0,30,95,0,80,37,0,17,0,2,69,0,81,86
18,3,32,60,43,24,51,84,34,1,80,1,2,7,11,59,84,10,2,23,36,32,6,94,1,4,91,3,75,1,69,1,7,35,14,21,86,25,13,14,5,33,1,90,1,1,50,20,79,2,12,28,30,88,20,2,78,3,1,8,13,84,43,0,3,8,1,85,1,6,89,6,76,33,2,9,6,1,92,11,1,21,2,89,13,1,0,30,93,0,73,36,0,17,0,2,66,0,84,92
18,3,33,60,33,26,50,81,36,1,82,1,2,7,10,56,87,9,1,22,40,31,6,95,1,4,92,3,75,1,66,1,7,33,14,21,82,27,12,11,5,33,1,87,1,1,46,21,82,2,13,29,33,83,21,2,75,3,1,7,12,87,40,0,3,8,1,87,1,7,83,6,80,28,2,9,6,1,91,10,1,21,2,94,12,1,0,31,92,0,76,38,1,17,0,2,65,0,86,92
18,3,31,60,32,26,48,83,34,1,82,1,2,6,11,58,85,10,1,22,38,32,7,94,1,4,90,3,74,2,68,1,7,29,13,20,79,25,12,11,4,31,1,85,1,1,47,21,77,2,13,29,33,88,22,2,76,3,1,8,12,84,40,0,3,7,1,87,1,7,85,6,80,27,2,9,6,1,92,11,1,19,2,92,13,1,0,29,87,0,76,36,1,15,0,2,61,0,89,92
20,3,31,60,33,27,51,85,37,1,81,1,2,6,11,58,86,9,2,21,39,31,6,91,1,4,99,3,73,1,67,1,7,29,14,20,86,26,12,11,5,35,1,90,1,1,47,20,81,2,13,30,35,91,22,1,81,3,1,7,12,86,39,0,3,7,1,88,1,7,88,6,76,31,2,9,6,1,94,11,1,21,2,95,13,1,0,29,89,0,75,37,1,15,0,2,61,0,86,97
19,3,32,64,39,28,53,84,36,1,82,1,2,6,11,56,91,10,1,23,40,32,6,98,1,4,90,4,76,1,69,1,7,32,14,19,88,27,13,11,5,33,1,90,1,1,45,20,82,2,12,30,33,94,22,1,86,3,1,8,12,84,42,0,3,8,1,86,1,7,85,6,81,29,2,10,6,1,93,11,1,21,2,93,13,1,0,30,94,0,73,38,1,16,0,2,60,0,85,96
18,3,33,63,42,27,54,85,38,1,84,1,3,6,10,57,92,12,1,20,39,31,6,90,1,4,89,3,78,1,76,1,7,34,14,19,98,26,12,12,4,33,1,89,1,1,46,19,78,2,12,26,34,96,21,1,82,3,1,8,12,84,42,0,3,7,1,87,1,6,87,6,70,33,2,8,6,1,94,11,1,22,2,97,12,1,0,29,88,0,79,38,1,15,0,2,60,0,84,93
19,3,32,59,35,28,51,82,37,1,86,1,2,6,11,54,94,12,2,22,38,31,7,86,1,5,95,3,75,1,72,1,7,31,15,18,94,26,13,11,4,33,1,88,1,1,46,21,80,2,12,28,34,90,21,2,83,3,1,8,12,88,41,0,3,8,1,91,1,7,83,6,74,31,2,9,6,1,92,10,1,21,2,94,13,1,0,29,90,0,75,36,1,14,0,2,59,0,93,100
18,3,30,60,38,25,52,77,38,1,82,1,2,6,10,52,85,11,1,20,36,30,5,85,1,4,97,4,80,1,76,1,7,32,14,18,100,25,12,11,4,32,1,88,1,1,44,19,76,2,11,27,33,88,20,2,77,3,1,7,12,85,38,0,3,8,1,94,1,7,84,5,69,30,2,8,6,1,90,10,1,22,2,91,12,1,1,28,84,0,76,38,1,14,0,2,57,1,80,87
19,3,32,59,36,25,55,80,39,1,86,1,2,6,11,55,85,11,2,21,36,31,6,88,1,4,93,3,73,1,71,1,7,34,14,17,83,25,12,12,4,32,1,94,1,1,45,19,80,2,11,27,36,89,22,2,74,3,1,7,12,90,39,0,3,7,1,96,1,7,81,5,71,30,1,9,7,1,87,9,1,23,2,100,13,1,1,28,91,0,79,38,1,14,0,2,58,0,84,89
19,3,33,59,41,29,57,83,41,1,86,1,2,6,11,59,93,12,2,22,35,32,6,91,1,4,96,4,72,1,71,1,7,36,14,18,86,27,12,11,5,32,1,92,1,1,46,20,82,2,11,29,37,94,22,2,76,3,1,8,13,89,39,0,3,7,1,96,1,7,87,5,71,31,2,8,6,1,96,10,1,24,2,98,13,1,1,29,93,0,76,38,1,14,0,2,57,0,86,92
19,3,32,62,42,28,59,82,41,1,100,1,2,6,11,69,84,13,2,22,35,30,7,90,1,4,98,4,71,1,74,1,7,31,14,19,93,24,13,13,4,31,1,94,1,1,45,20,80,2,11,29,42,95,24,2,80,3,1,8,13,91,38,0,3,7,1,96,1,8,100,6,71,34,1,9,6,1,93,11,1,25,2,100,13,1,0,28,91,0,76,38,1,14,1,2,59,0,85,90
16,3,29,54,34,26,53,80,39,1,81,1,2,5,10,51,89,10,1,19,30,30,5,93,0,4,93,3,72,1,74,1,7,28,14,16,97,26,13,11,3,28,1,96,1,1,39,18,74,2,7,25,58,92,20,1,77,3,1,6,13,100,37,0,2,7,1,92,0,8,81,4,59,32,1,7,6,0,90,9,1,24,1,90,12,1,0,29,83,0,70,38,0,12,0,2,55,0,79,83
20,3,31,55,33,26,64,84,36,1,87,1,2,6,11,52,92,11,1,22,33,32,6,97,1,4,95,3,68,1,73,1,7,28,13,17,83,25,12,11,4,31,1,100,1,1,43,19,80,2,10,28,38,92,21,1,78,3,1,7,13,97,36,0,3,6,1,89,1,8,82,5,70,30,1,8,6,1,95,10,1,32,2,99,13,1,0,27,86,0,77,42,1,13,0,2,56,0,80,91
19,3,30,56,33,27,64,85,37,1,86,1,2,6,10,60,95,11,1,21,33,33,6,95,1,4,98,3,67,1,76,1,7,26,13,16,85,26,11,11,4,32,1,99,1,1,43,20,79,2,10,27,40,88,20,1,78,3,1,7,11,94,37,0,3,7,1,96,1,7,85,5,74,31,2,8,6,1,89,11,1,32,2,96,13,1,0,28,87,0,76,44,1,13,0,2,59,0,98,86
17,2,30,55,28,25,56,84,46,1,76,1,2,5,9,51,94,12,1,19,31,35,5,88,0,4,93,3,72,1,79,1,7,25,13,16,78,24,11,11,4,31,1,95,1,1,42,17,74,2,8,23,38,87,17,1,79,3,1,7,11,92,36,0,2,7,1,93,1,8,77,5,61,32,1,8,6,0,87,13,1,27,2,85,12,1,0,29,80,0,76,44,0,12,0,2,57,0,82,81
12,2,25,54,29,20,48,88,40,1,64,1,2,4,7,51,95,9,1,13,25,30,4,88,0,4,96,3,64,1,99,1,7,22,13,15,71,23,11,10,2,31,1,100,1,0,43,13,68,1,3,16,46,84,11,1,78,2,0,6,11,88,40,0,2,7,1,95,0,7,63,3,37,27,0,5,6,0,89,10,0,22,1,76,10,0,0,32,77,0,75,52,0,11,0,1,59,0,70,59
14,2,28,56,34,24,45,87,42,1,68,1,2,5,8,52,90,9,1,16,28,30,4,89,0,4,94,3,73,1,100,1,7,23,14,18,84,24,11,13,2,35,1,97,1,0,47,15,78,1,4,18,41,85,13,1,80,2,1,6,12,94,44,0,2,8,1,100,0,7,69,3,43,30,1,5,8,0,91,9,0,20,1,85,10,0,0,30,87,0,90,35,0,14,0,1,64,0,72,69
