country,hotness,gdp
United States,2151,15599728.1230000
United Kingdom,913,2674891.47384381
France,436,2865157.54199417
India,359,1823049.92777146
Germany,352,3749314.99105059
Mexico,329,1180489.60195761
China,227,7551500.12419717
Japan,217,6233147.17234135
Russia,211,2045925.60827437
Canada,206,1793326.63017452
Australia,203,1397907.9167899
Norway,195,498283.438454281
Italy,194,2294994.2965895
Egypt,174,235989.672977625
South Africa,157,458201.514136977
Brazil,144,2616156.60666662
Iceland,135,15221.6229259319
Spain,134,1480710.49571012
Netherlands,126,905270.626332687