article,cluster
%C3%81ed%C3%A1n_mac_Gabr%C3%A1in,1
%C3%85land,14
%C3%89douard_Manet,3
%C3%89ire,8
%C3%93engus_I_of_the_Picts,1
%E2%82%AC2_commemorative_coins,3
10th_century,1
11th_century,1
12th_century,1
13th_century,1
14th_century,1
15th_Marine_Expeditionary_Unit,8
15th_century,1
16_Cygni,11
16_Cygni_Bb,11
16th_century,1
1755_Lisbon_earthquake,3
17th_century,3
1896_Summer_Olympics,15
18th_century,9
1928_Okeechobee_Hurricane,4
1973_oil_crisis,8
1980_eruption_of_Mount_St._Helens,4
1997_Pacific_hurricane_season,4
19th_century,6
1_Ceres,11
1st_century,1
1st_century_BC,1
2-6-0,4
2-8-0,4
2003_Atlantic_hurricane_season,4
2004_Atlantic_hurricane_season,4
2004_Indian_Ocean_earthquake,9
2005_Atlantic_hurricane_season,4
2005_Hertfordshire_Oil_Storage_Terminal_fire,4
2005_Kashmir_earthquake,9
2005_Lake_Tanganyika_earthquake,9
2005_Sumatra_earthquake,9
20th_century,6
21st_century,14
2nd_century,1
3_Juno,11
3rd_century,1
4-2-0,4
4-4-0,4
4-6-0,4
47_Ursae_Majoris,11
47_Ursae_Majoris_b,11
47_Ursae_Majoris_c,11
4_Vesta,11
4th_century,1
55_Cancri,11
55_Cancri_b,11
55_Cancri_c,11
55_Cancri_d,11
55_Cancri_e,11
5th_century,1
6-2-0,4
6th_century,1
7th_century,1
8th_century,1
90377_Sedna,11
9th_century,1
A._E._J._Collins,15
ABO_blood_group_system,2
AC_DC,7
AIDS,2
AK-47,8
ALCO_FA,4
ASCII,10
AT%26T,10
ATLAS_experiment,11
A_Christmas_Carol,7
A_Tale_of_a_Tub,3
A_Wrinkle_in_Time,7
A_cappella,15
Aachen,5
Aardvark,0
Aarhus,5
Abac%C3%A1,2
Abacus,6
Abadan,1
Abbadid,1
Abbas_I_of_Persia,1
Abbasid,1
Abbey,3
Abbey_Theatre,3
Abbot,3
Abel_Tasman,3
Aberdeen,5
Aberration_of_light,11
Aberystwyth,5
Abhidhamma_Pitaka,6
Abidjan,14
Abkhazia,14
Able_Archer_83,8
Abraham_Goldfaden,7
Abraham_Lincoln,8
Absinthe,2
Absolute_zero,11
Abstract_art,6
Abu_Dhabi,5
Abuja,5
Acceleration,11
Accountancy,6
Accra,5
Acetic_acid,13
Acetone,13
Achilles,1
Achilles_tendon,2
Acid_rain,9
Acorn_Computers,10
Actinium,13
Action_potential,11
Actor,7
Acts_of_Union_1707,3
Actuary,6
Adam_Smith,6
Addis_Ababa,5
Adelaide,5
Adenosine_triphosphate,13
Adi_Shankara,1
Adolf_Hitler,8
Adriaen_van_der_Donck,8
Advertising,10
Aesthetics,6
Afghan_Hound,0
Afghanistan,14
Africa,14
African_American_literature,7
African_Black_Oystercatcher,12
African_Brush-tailed_Porcupine,12
African_Buffalo,0
African_Darter,12
African_Great_Lakes,9
African_Grey_Hornbill,12
African_Grey_Parrot,0
African_Jacana,12
African_Penguin,0
African_Union,14
African_Wild_Dog,0
African_clawed_frog,2
African_dwarf_frog,12
African_slave_trade,14
Afrikaans,14
Agamemnon,1
Age_of_Enlightenment,6
Aggregator,10
Agnosticism,6
Agriculture,2
Airbus,4
Airbus_A380,4
Aircraft,4
Aircraft_carrier,4
Airship,4
Ajax_%28programming%29,10
Akbar,1
Akhenaten,1
Akira_Kurosawa,7
Akkadian_Empire,1
Akrotiri_and_Dhekelia,14
Aksumite_currency,1
Al_Jazeera,8
Alamosaurus,0
Alan_Turing,10
Albania,14
Albatross,0
Albert_Einstein,8
Alberto_Santos-Dumont,4
Albertosaurus,0
Albigensian_Crusade,3
Albinism,2
Albrecht_D%C3%BCrer,3
Albrecht_Rodenbach,3
Alchemy,1
Alcibiades,1
Alcohol,13
Aleksandr_Pushkin,3
Aleksandr_Vasilevsky,8
Aleksey_Arakcheyev,3
Alexander_Graham_Bell,4
Alexander_Hamilton,8
Alexander_the_Great,1
Alfred_Hitchcock,7
Alfred_Nobel,3
Alfred_the_Great,3
Algebra,6
Algeria,14
Algerian_Civil_War,14
Algiers,1
Algol,11
Algoma_Central_Railway,4
Algorithm,10
Alice%27s_Adventures_in_Wonderland,7
All_Blacks,15
All_You_Need_Is_Love_%28The_JAMs_song%29,7
All_your_base_are_belong_to_us,10
Allah,1
Allegory_in_the_Middle_Ages,1
Alligator,0
Alliterative_verse,1
Allosaurus,0
Almaty,9
Almond,2
Alpaca,0
Alphabet,6
Alternating_current,11
Alternation_of_generations,2
Alternative_rock,7
Aluminium,13
Aluminium_chloride,13
Alzheimer%27s_disease,2
Amaranth_oil,2
Amarillo%2C_Texas,5
Amazon_Basin,9
Amazon_Rainforest,9
Amazon_River,9
Amazon_parrot,12
Amber,9
Amda_Seyon_I,1
American_Civil_War,8
American_English,4
American_Revolutionary_War,8
American_Samoa,14
American_football,15
American_popular_music,7
Americium,13
Amish,7
Ammolite,9
Ammonia,13
Ammonite,0
Ammosaurus,0
Amsterdam,5
Amtrak,4
Amur,9
Anaconda,0
Analytical_Marxism,6
Anarchism,6
Anarcho-capitalism,6
Anatomy,6
Ancient_Egypt,1
Ancient_Greece,1
Ancient_Rome,1
Ancient_history,1
Andes,9
Andorra,14
Andr%C3%A9s_Nocioni,15
Andrew_Carnegie,8
Andrew_Dickson_White,8
Andrew_Gonzalez,8
Andrew_Jackson,8
Andrew_Johnson,8
Andrew_Robinson,7
Andriyivskyy_Descent,5
Andromeda_Galaxy,11
Andy_Warhol,7
Anemia,2
Angel_shark,0
Angelica,12
Angkor,9
Angkor_Wat,1
Anglican_Church_of_Australia,9
Anglican_Communion,3
Anglicanism,3
Anglo-Saxon_literature,1
Angola,14
Anguilla,14
Animal,0
Animal_law,6
Animal_rights,6
Animation,7
Ankylosaurus,0
Ann_Arbor%2C_Michigan,5
Anna_Karenina,7
Anne_Frank,8
Anne_of_Great_Britain,3
Annibale_Bugnini,3
Anno_Domini,1
Anschluss,8
Ant,0
Antananarivo,14
Antarctic_Treaty_System,9
Antarctic_krill,0
Antarctica,9
Antarctosaurus,0
Anteater,12
Antelope,0
Anthony_van_Dyck,3
Anthropology,6
Antigua_and_Barbuda,14
Antimony,13
Antlion,0
Antoine_Lavoisier,3
Anton%C3%ADn_Dvo%C5%99%C3%A1k,7
Anton_Alexander_von_Werner,3
Antonio_Vivaldi,3
Antwerp,5
Apaochi,1
Apatosaurus,0
Ape,0
Aphid,0
Apollo,1
Apollo_11,4
Apollo_8,4
Apostolic_Succession,3
Apple,2
Applied_mathematics,6
Apricot,2
Aquarium,9
Arab-Israeli_conflict,8
Arab_League,14
Arabic_language,14
Arable_land,2
Aradia%2C_or_the_Gospel_of_the_Witches,1
Aral_Sea,9
Arcadia_%28play%29,7
Archaeoastronomy,11
Archaeology,1
Archaeopteryx,0
Archbishop_of_Canterbury,3
Archimedes,1
Architecture,6
Architecture_of_Windows_NT,10
Architecture_of_the_California_missions,1
Arctic,9
Arctic_Circle,9
Arctic_Monkeys,7
Arctic_Ocean,9
Arctic_Tern,0
Arecaceae,2
Argan,2
Argentina,14
Argon,13
Argyle_diamond_mine,9
Ariel_Sharon,8
Aristarchus_%28crater%29,11
Aristotle,1
Arithmetic,6
Armadillo,0
Armand_Jean_du_Plessis%2C_Cardinal_Richelieu,3
Armenia,14
Armia_Krajowa,8
Arnold_Schwarzenegger,7
Arp2_3_complex,2
Ars_moriendi,3
Arsenal_F.C.,15
Arsenic,13
Art,6
Arthropod,0
Arthur_Ernest_Percival,8
Arthur_Sullivan,3
Arthur_Upfield,7
Arthur_Wellesley%2C_1st_Duke_of_Wellington,3
Arts_and_crafts,6
Aruba,14
Arugula,2
Ascariasis,2
Asia,14
Asp_%28reptile%29,0
Asparagus,2
Asperger_syndrome,6
Assyria,1
Astatine,13
Asteroid,11
Asthma,2
Astrology,11
Astronomy,11
Astrophysics_Data_System,10
Asunci%C3%B3n,5
Ateneo_de_Manila_University,14
Athanasius_Kircher,1
Atheism,6
Athena,1
Athens,5
Athletics_%28track_and_field%29,15
Atlanta%2C_Georgia,5
Atlantic_Coast_Line_Railroad,4
Atlantic_Ocean,9
Atlantic_herring,0
Atlantic_slave_trade,14
Atlantis,1
Atom,11
Atonality,6
Attack_on_Pearl_Harbor,8
Attalus_I,1
Attention-deficit_hyperactivity_disorder,6
Attila_the_Hun,1
Auckland,5
Augusta%2C_Lady_Gregory,3
Augustan_literature,3
Auguste_Rodin,3
Augustine_of_Hippo,1
Augustus,1
Australia,14
Australian_English,15
Australian_Green_Tree_Frog,0
Australian_Open,15
Australian_Ringneck,12
Australian_constitutional_law,6
Australian_rules_football,15
Austria,14
Autism,6
Auto_racing,15
Autobianchi_Primula,4
Autocracy,1
Automated_teller_machine,10
Automatic_number_plate_recognition,10
Automobile,4
Autorack,4
Autostereogram,6
Autumn,8
Avacha_Volcano,9
Avalanche,4
Avatar__The_Last_Airbender,7
Avocado,2
Avon_Gorge,9
Avro_Lancaster,4
Axe,9
Ayaan_Hirsi_Ali,8
Aye-aye,0
Aymer_de_Valence%2C_2nd_Earl_of_Pembroke,3
Azerbaijan,14
Azerbaijani_people,1
Aztec,1
BAE_Systems,4
BASIC,10
BBC,10
BBC_television_drama,7
BP,8
BT_Tower,4
B_vitamins,2
Babe_Ruth,15
Baboon,0
Babur,1
Baby_Gender_Mentor,10
Babylonia,1
Backgammon,15
Bacteria,2
Baden-Powell_House,5
Badger,0
Badminton,15
Badugi,15
Baghdad,5
Bah%C3%A1%27%C3%AD_Faith,1
Bahamas,14
Bahrain,14
Baker_Island,9
Bald_Eagle,0
Baltic_Sea,9
Baltimore%2C_Maryland,5
Bamako,14
Banana,2
Bandicoot,12
Bangalore,5
Bangkok,5
Bangladesh,14
Banjul,14
Bank_of_China_%28Hong_Kong%29,10
Banknote,6
Banksy,7
Bantu,9
Barack_Obama,8
Barbados,14
Barbara_McClintock,2
Barbary_Lion,0
Barbary_Macaque,0
Barcelona,5
Barium,13
Barley,2
Barn_Owl,12
Barnacle,12
Baroque,3
Barracuda,0
Baruch_Spinoza,6
Baseball,15
Basel,5
Basil,2
Basil_Brush,7
Basilica_of_San_Francesco_d%27Assisi,3
Basilica_of_Santa_Maria_degli_Angeli,3
Basketball,15
Basking_shark,0
Bass_%28fish%29,12
Basset_Hound,0
Bassoon,15
Bat,12
Bat-eared_Fox,0
Bath%2C_Somerset,5
Bath_School_disaster,8
Batholith,9
Batman,7
Battle_of_Alesia,1
Battle_of_Amiens,8
Battle_of_Austerlitz,3
Battle_of_Badr,1
Battle_of_Bicocca,3
Battle_of_Britain,8
Battle_of_Cannae,1
Battle_of_France,8
Battle_of_Gettysburg,8
Battle_of_Grunwald,1
Battle_of_Hastings,3
Battle_of_Jutland,4
Battle_of_Lechaeum,1
Battle_of_Leyte_Gulf,4
Battle_of_Marathon,1
Battle_of_Midway,8
Battle_of_Moscow,8
Battle_of_Normandy,8
Battle_of_Rennell_Island,4
Battle_of_Sitka,8
Battle_of_Smolensk_%281943%29,8
Battle_of_Stalingrad,8
Battle_of_Tours,1
Battle_of_Vaslui,3
Battle_of_Warsaw_%281920%29,8
Battle_of_the_Bulge,8
Battle_of_the_Eastern_Solomons,4
Battle_of_the_Little_Bighorn,8
Battle_of_the_Santa_Cruz_Islands,4
Battle_of_the_Somme_%281916%29,8
Battles_of_the_Mexican-American_War,8
Bay_Area_Rapid_Transit,4
Bay_of_Bengal,9
Beach,9
Bean,2
Bear,0
Beatles_for_Sale,7
Beaver,0
Bedbug,2
Bede,3
Bee,0
Beeching_Axe,4
Beekeeping,2
Beep_%28SWBLW%29,4
Beer,2
Beet,2
Beetle,0
Behavioral_finance,6
Behistun_Inscription,1
Beijing,5
Beirut,5
Belarus,14
Belfast,5
Belgium,14
Belize,14
Belton_House,3
Ben-Hur_%281959_film%29,7
Ben_Jonson,3
Ben_Nevis,9
Bench_language,6
Benin,14
Benito_Mussolini,8
Benjamin_Britten,7
Benjamin_Disraeli%2C_1st_Earl_of_Beaconsfield,3
Benjamin_Franklin,3
Benjamin_Harrison,8
Benjamin_Mountfort,3
Benjamin_of_Tudela,1
Benzene,13
Berber_languages,14
Beriberi,2
Berkelium,13
Berlin,5
Berlin_Wall,8
Bermuda,14
Bernard_Hinault,15
Bertrand_Russell,6
Beryllium,13
Betelgeuse_incident,4
Bette_Davis,7
Bhutan,14
Bible,1
Bicycle,15
Bicycle_Thieves,7
Big_Bang,11
Bill_Clinton,8
Bill_Gates,10
Billie_Holiday,7
Binary_star,11
Binoculars,11
Binomial_nomenclature,12
Biodiesel,2
Biodiversity,9
Biofuel,2
Bioinformatics,10
Biology,0
Bionicle__Mask_of_Light,7
Biosphere,9
Biotechnology,2
Bird,0
Bird_migration,0
Bird_of_prey,12
Birmingham,5
Birth_control,2
Bismuth,13
Bison,12
Bissau,14
Bj%C3%B6rn_Borg,15
Bj%C3%B8rn%C3%B8ya,9
Black-backed_Jackal,12
Black-footed_Cat,0
Black-winged_Stilt,12
Black_Death,3
Black_Rhinoceros,0
Black_Robin,12
Black_Sea,9
Black_Seminoles,8
Black_Wildebeest,12
Black_hole,11
Black_panther,0
Black_pepper,2
Black_widow_spider,0
Blackbird,12
Blackcap,12
Blackjack,15
Blackpool,5
Blacktip_reef_shark,12
Blade_Runner,7
Blaise_Pascal,3
Blitzkrieg,8
Blokus,15
Blood_type,2
Blue_Jay,12
Blue_Peter,7
Blue_Tit,12
Blue_Whale,0
Blue_Wildebeest,0
Blue_shark,0
Bluegrass_music,15
Bluetooth,10
Boa,12
Board_game,10
Boat,9
Bob_Dylan,7
Bob_Marley,7
Bobcat,0
Body_mass_index,2
Bodyline,15
Boeing_747,4
Bog,9
Bogot%C3%A1,5
Bohemian_Rhapsody,7
Bohor_Reedbuck,12
Bohrium,13
Bolivia,14
Bologna,5
Boltysh_crater,9
Bongo_%28antelope%29,0
Bonobo,0
Bontebok,12
Booby,12
Book,1
Book_of_Common_Prayer,3
Book_of_Kells,3
Boolean_logic,10
Borage,2
Boris_Becker,15
Boron,13
Bosnia_and_Herzegovina,14
Boston%2C_Massachusetts,5
Boston_RFC,15
Boston_Terrier,0
Boston_and_Lowell_Railroad,4
Botany,2
Botswana,14
Bottlenose_Dolphin,0
Boudica,1
Boundary_Waters_Canoe_Area_Wilderness,9
Bourbonnais_train_accident,4
Bouvet_Island,9
Box_jellyfish,2
Boy_Scout,8
Boyle_Roche,3
Brabantian,14
Brabham,15
Brachiosaurus,0
Brahman,6
Brain,2
Bran,2
Brandon_Routh,7
Bras%C3%ADlia,5
Brass_instrument,15
Bratislava,5
Brazil,14
Bread,2
Breaker_Morant,8
Bretton_Woods_system,8
Brian_Close,15
Bridge,4
Brighton,5
Brisbane,5
Bristol,5
British_East_India_Company,3
British_Empire,14
British_English,6
British_House_of_Commons,3
British_Indian_Ocean_Territory,14
British_Isles,3
British_Isles_%28terminology%29,14
British_Virgin_Islands,14
British_monarchy,3
Britney_Spears,7
Broadcasting,10
Bromine,13
Bronze_Age,1
Brothers_Grimm,1
Brown_trout,0
Bruce_Lee,7
Bruce_Springsteen,7
Brunei,14
Brush,2
Brussels,5
Brute_force_attack,10
Bryce_Canyon_National_Park,9
Btrieve,10
Bucharest,5
Buckingham_Palace,3
Buckminster_Fuller,4
Budapest,5
Buddha,6
Buddhism,1
Buddhist_art,1
Buenos_Aires,5
Buffy_the_Vampire_Slayer,7
Bulgaria,14
Bull_shark,0
Burkina_Faso,14
Burundi,14
Bushbuck,12
Bushpig,12
Business,10
Butter,2
Button,10
Byzantine_Empire,1
C%2B%2B,10
C%C3%A6dmon,1
C%C3%B4te_d%27Ivoire,14
C._S._Lewis,7
CF7,4
CPU_cache,10
CS_gas,13
Cactus,2
Cadmium,13
Caesar_cipher,10
Caesium,13
Caesium_fluoride,13
Cai_Lun,1
Cairo,5
Calcite,13
Calcium,13
Calcium_chloride,13
Calculus,11
Calgary,5
California,14
California_Southern_Railroad,4
Californium,13
Calligraphy,1
Caloris_Basin,11
Calvin_Coolidge,8
Calvin_and_Hobbes,7
Camarasaurus,0
Cambodia,14
Cambrian,9
Cambrian_explosion,0
Cambridge,5
Camel,0
Cameroon,14
Canada,14
Canada_Goose,12
Canadian_Charter_of_Rights_and_Freedoms,6
Canadian_English,6
Canadian_House_of_Commons,14
Canadian_Pacific_Railway,4
Canadian_Senate,6
Canadian_football,15
Canal,9
Canaletto,3
Canberra,5
Cancer,2
Cane_Toad,0
Canola,2
Canterbury,5
Canterbury_Cathedral,3
Canute_the_Great,3
Capacitance,11
Cape_Canaveral,9
Cape_Horn,9
Cape_Lion,12
Cape_Porcupine,12
Cape_Town,5
Cape_Verde,14
Capital,14
Capitalism,6
Capitoline_Triad,1
Captain_Marvel_%28DC_Comics%29,7
Caracas,5
Caratacus,1
Caravaggio,3
Carbon,13
Carbon_dioxide,13
Carboniferous,0
Carcinus_maenas,0
Card_game,15
Cardiff,5
Caribbean_Sea,9
Carl_Friedrich_Gauss,11
Carl_G._Fisher,4
Carl_Jung,6
Carl_Lewis,15
Carl_Sagan,8
Carlsbad_Caverns_National_Park,9
Carnivore,0
Caroline_Island,14
Carolingian_Gospel_Book_%28British_Library%2C_MS_Add._11848%29,3
Carolus_Linnaeus,0
Carrot,2
Casablanca_%28film%29,7
Casimir_effect,11
Caspian_Sea,9
Cassini-Huygens,11
Cassowary,0
Castra,1
Cat,11
Cat%27s_Eye_Nebula,0
Cat_Stevens,7
Cataract,2
Cataract_surgery,2
Cathedral_of_Magdeburg,5
Catherine_Cranston,3
Catherine_II_of_Russia,3
Catholic_social_teaching,6
Cattle,0
Cave,9
Cayman_Islands,14
Celeriac,12
Celery,2
Celine_Dion,7
Cell_%28biology%29,2
Cello,15
Celtic_F.C.,15
Celtic_Park,15
Celtic_mythology,1
Central_African_Republic,14
Central_processing_unit,10
Ceratopsidae,0
Cereal,2
Cerebellum,6
Ceres_%28dwarf_planet%29,11
Cerium,13
Chad,14
Chadian-Sudanese_conflict,14
Chaffinch,12
Channel_Islands,14
Charlemagne,1
Charles_Babbage,3
Charles_Darwin,3
Charles_Dickens,3
Charles_Etienne_Brasseur_de_Bourbourg,3
Charles_II_of_England,3
Charles_I_of_England,3
Charles_Sumner,8
Charles_V%2C_Holy_Roman_Emperor,3
Charlie_Chaplin,7
Charlotte%27s_Web,7
Chartism,3
Che_Guevara,8
Cheers,7
Cheese,2
Cheetah,0
Chelsea_F.C.,15
Chemical_element,13
Chemical_synapse,6
Chemistry,6
Chennai,5
Chepstow_Bridge,4
Chernobyl_disaster,9
Chess,15
Chester_A._Arthur,8
Chestnut,2
Chew_Magna,5
Chew_Stoke,5
Chew_Valley,9
Chew_Valley_Lake,9
Chicago,5
Chicago_Bears,15
Chicago_and_North_Western_Railway,4
Chicken,2
Child,6
Children%27s_Crusade,1
Children%27s_rights_movement,8
Chile,14
Chiltern_Hills,9
Chimpanzee,0
China,1
Chinese_Rites_controversy,1
Chinese_language,6
Chinyingi,9
Chives,2
Chlorine,13
Chocolate,2
Chola_dynasty,1
Cholera,2
Chordate,0
Chris_Evert,15
Christian_Bale,7
Christian_monasticism,1
Christianity,1
Christina_Aguilera,7
Christmas_Island,14
Christopher_Columbus,3
Christopher_Wren,3
Chromatic_aberration,11
Chromatophore,2
Chromium,13
Church_of_England,3
Church_of_Ireland,3
Cicely,12
Cider,2
Cinema_of_the_United_States,7
Citizen_Kane,7
Citizenship,6
Citrus,2
City,5
City_status_in_the_United_Kingdom,5
Civil_War_token,8
Civil_rights,6
Civil_society,6
Civilization,1
Civilization_%28computer_game%29,10
Clarinet,15
Classic_female_blues,7
Claude_L%C3%A9vi-Strauss,6
Claude_Monet,3
Claudius,1
Clay,9
Cleopatra_VII,1
Cleopatra_VII_of_Egypt,1
Cleveland%2C_Ohio,5
Clifton_Suspension_Bridge,4
Climate,9
Climate_change,9
Clock,10
Clone_Wars_%28Star_Wars%29,7
Clothing,6
Cloud,11
Coal,13
Coal_Tit,12
Cobalt,13
Coccinellidae,12
Cochineal,2
Cockatiel,0
Cocoa,2
Coconut,2
Coconut_crab,0
Coconut_oil,2
Cocos_%28Keeling%29_Islands,14
Cod,2
Code_of_Hammurabi,1
Coffee,2
Coin,6
Cold_War,8
Colditz_Castle,8
Colima_%28volcano%29,9
Collapse_of_the_World_Trade_Center,4
Colley_Cibber,3
Cologne,5
Colombia,14
Colombo,5
Color,6
Color_Graphics_Adapter,10
Color_blindness,2
Colorado_River,9
Colossus_of_Rhodes,1
Columba,1
Columbia_River,9
Columbine_High_School_massacre,8
Columbus%2C_Ohio,5
Comet,11
Comet_Hale-Bopp,11
Comet_Halley,11
Comet_Hyakutake,11
Comet_Shoemaker-Levy_9,11
Comet_White-Ortiz-Bolelli,11
Comics,6
Comma_Johanneum,3
Commodore_64,10
Common_Basilisk,12
Common_Cuckoo,12
Common_Eider,12
Common_Eland,12
Common_Hazel,2
Common_Pheasant,12
Common_Tern,12
Common_agouti,12
Common_cold,2
Common_sage,2
Commonwealth_Games,15
Communication,6
Communism,6
Community,6
Comoros,14
Compact_Disc,10
Company_%28law%29,6
Compsognathus,0
Computational_chemistry,11
Computer,10
Computer_and_video_games,10
Computer_programming,10
Computer_science,10
Conakry,14
Concorde,4
Condoleezza_Rice,8
Conflict,6
Confucianism,6
Confucius,1
Congo_River,9
Consolation_of_Philosophy,1
Constantine_I,1
Constantine_II_of_Scotland,1
Constitution_of_May_3%2C_1791,8
Constitutional_monarchy,6
Constructivism_%28art%29,6
Consumer_protection,10
Contact_lens,2
Continent,9
Continental_crust,9
Control_car_%28rail%29,4
Convention_on_the_International_Trade_in_Endangered_Species_of_Wild_Flora_and_Fauna,0
Convention_on_the_Rights_of_the_Child,8
Cook_Islands,14
Cookiecutter_shark,12
Cooperative,6
Coot,12
Copenhagen,5
Copenhagen_Fire_of_1728,3
Copper,13
Copper%28I%29_chloride,13
Coriander,2
Corinthian_War,1
Cormorant,12
Corn_oil,2
Cornea,2
Cornell_University,5
Coronation_Street,7
Corporate_finance,10
Corporation,6
Corrosion,13
Corundum,13
Cosmic_inflation,11
Cosmic_microwave_background_radiation,11
Costa_Rica,14
Costume_design,7
Cotopaxi,9
Cotswolds,5
Cotton,2
Coulomb%27s_law,11
Country,14
Coupling_%28railway%29,4
Coventry,5
Crab_Nebula,11
Crash_test_dummy,4
Craters_of_the_Moon_National_Monument_and_Preserve,9
Craton,9
Creation-evolution_controversy,6
Creationism,6
Creative_Commons,10
Cretaceous,9
Cretaceous-Tertiary_extinction_event,0
Cricket,15
Crime,6
Crime_and_Punishment,7
Crime_in_Mexico,14
Crimean_Karaites,1
Crimean_War,3
Crimson-collared_Tanager,12
Cristero_War,8
Criticism_of_the_War_on_Terrorism,8
Croatia,14
Crocodile,0
Crohn%27s_disease,2
Cross_Fell,9
Crossbill,12
Crow,0
Crown_Jewels_of_the_United_Kingdom,3
Crusades,1
Crust_%28geology%29,9
Crustacean,0
Cryptography,10
Crystal,13
Crystallographic_defects_in_diamond,13
Cuba,14
Cubeb,2
Cubism,6
Cuckmere_Haven,9
Cultivar,2
Cultural_diversity,6
Cultural_identity,6
Culture,6
Culture_of_the_Democratic_Republic_of_the_Congo,14
Curium,13
Currency,14
Cyanocobalamin,13
Cyberpunk,7
Cyclamen,2
Cyclone_Percy,4
Cyclone_Rosita,4
Cyclops,1
Cymbopogon,2
Cyprus,14
Cyril_Clarke,12
Cyrus_K._Holliday,4
Cyrus_the_Great,1
Cystic_fibrosis,2
Czech_Republic,14
D%C3%A1l_Riata,1
D%C3%BCsseldorf,5
DNA,6
DNA_repair,2
DVD,10
Dad%27s_Army,7
Dada,7
Dakar,14
Dakota%2C_Minnesota_and_Eastern_Railroad,4
Daley_Thompson,15
Dallas%2C_Texas,5
Dam,9
Damascus,1
Damascus_steel,13
Damon_Hill,15
Dance,6
Dandelion,2
Daniel_Day-Lewis,7
Daniel_Ellsberg,8
Danny_Deever,7
Danske_Statsbaner,4
Dante_Alighieri,3
Danube,9
Darfur_conflict,8
Dark_Ages,1
Darling_River,9
Darmstadtium,13
Darth_Vader,7
Dartmoor,9
Das_Kapital,6
Data_Encryption_Standard,10
David_Attenborough,7
David_Beckham,15
David_Blanchflower,6
David_Cameron,8
David_Copperfield_%28novel%29,7
David_Helvarg,8
David_Heymann,9
David_Hilbert,6
David_Hume,6
David_III_of_Tao,1
David_Livingstone,8
Davis_Cup,15
Davy_Jones%27_Locker,7
Day,11
Dayuan,1
Dead_Sea,9
Dead_Sea_scrolls,1
Death_Valley_National_Park,9
Decade_Volcanoes,9
Deconstructivism,6
Defaka,14
Defense_of_Sihang_Warehouse,8
Definition_of_planet,11
Deinonychus,0
Deity,6
Delhi,5
Deluge_%28mythology%29,1
Demand_Note,8
Democracy,6
Democratic_Action_Party,14
Democratic_Republic_of_the_Congo,14
Demosthenes,1
Denis_Law,15
Denmark,14
Dennis_Ritchie,10
Denver%2C_Colorado,5
Derby,5
Desert,9
Desert_locust,2
Desmond_Tutu,8
Despotism,1
Detroit%2C_Michigan,5
Devonian,9
Dewey_Square,4
